Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/28 - 04:39:09.6627641,0.3099222,-0.07775667,0.006453218,-0.02237667,359.3163,358.6133,357.9555,0.003779876,-0.5730557,0.1196566,3.754996,357.258,8.171118
2018/06/28 - 04:39:09.6747275,0.3208139,-0.07675969,0.006326511,-0.02169851,359.3325,358.5606,357.9124,0.003790131,-0.5733144,0.1199943,3.773003,357.1548,8.093062
2018/06/28 - 04:39:09.6856993,0.3321114,-0.07590726,0.006239482,-0.02133935,359.4402,358.5127,357.8315,0.003852115,-0.5734895,0.1204819,3.830661,357.0482,7.991999
2018/06/28 - 04:39:09.6976662,0.343005,-0.0749703,0.006101907,-0.02078559,359.4718,358.451,357.818,0.00391192,-0.5736789,0.1209731,3.880937,356.9206,7.917997
2018/06/28 - 04:39:09.7096341,0.3540372,-0.07406677,0.006092058,-0.0200509,359.533,358.3842,357.7507,0.003977386,-0.5738366,0.1214769,3.926942,356.802,7.885668
2018/06/28 - 04:39:09.7176128,0.3664341,-0.07315093,0.005995738,-0.01935124,359.6137,358.2704,357.681,0.004067058,-0.5739909,0.1219276,3.958342,356.7115,7.872462
2018/06/28 - 04:39:09.7305786,0.3757832,-0.07220155,0.005856521,-0.01861281,359.6855,358.1033,357.6691,0.004175873,-0.5741616,0.1222454,3.943383,356.6483,7.827147
2018/06/28 - 04:39:09.7415769,0.3870594,-0.07120673,0.005842626,-0.01724567,359.7721,357.9778,357.6171,0.004302153,-0.5743754,0.1225576,3.901326,356.5933,7.751662
2018/06/28 - 04:39:09.7535181,0.3988635,-0.07021494,0.005734242,-0.01592989,359.7893,357.8475,357.5854,0.004435029,-0.5746788,0.122899,3.936177,356.5252,7.698875
2018/06/28 - 04:39:09.7704721,0.4102077,-0.06923433,0.005488747,-0.01494431,359.757,357.6483,357.5539,0.004584505,-0.5750337,0.1231915,3.987452,356.4767,7.629036
2018/06/28 - 04:39:09.7784505,0.4210177,-0.06852426,0.00530287,-0.01446262,359.8475,357.4724,357.438,0.00476107,-0.5754469,0.1234263,4.03945,356.4439,7.523962
2018/06/28 - 04:39:09.7854549,0.4352126,-0.06778932,0.005122031,-0.01399098,359.9228,357.2854,357.3426,0.00490537,-0.5758253,0.1236656,4.081704,356.3876,7.421608
