Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/02 - 10:42:34.6853150,89.98055,0,0,User missed, , , 
2018/07/02 - 10:42:47.6961396,93.11427,0,2,User missed, , , 
2018/07/02 - 10:42:48.1068868,93.52534,0,2,User missed, , , 
2018/07/02 - 10:42:48.4081133,93.82568,1,2,User hit user's target,-0.9524966,7.585095,-4.474936
2018/07/02 - 10:42:49.1960104,94.61439,0,3,User missed, , , 
2018/07/02 - 10:42:49.5191937,94.93671,1,3,User hit user's target,-0.7230189,3.978131,-4.732238
2018/07/02 - 10:42:50.6286749,96.04764,0,3,User missed, , , 
2018/07/02 - 10:42:50.9067875,96.32542,0,3,User missed, , , 
2018/07/02 - 10:42:51.1277829,96.5471,0,3,User missed, , , 
2018/07/02 - 10:42:51.3521831,96.77037,0,3,User missed, , , 
2018/07/02 - 10:42:52.8080832,98.22707,0,5,User missed, , , 
2018/07/02 - 10:42:53.2189832,98.63694,0,5,User missed, , , 
2018/07/02 - 10:42:53.5860001,99.0042,1,6,User hit user's target,-5.455445,8.104865,0.9593264
2018/07/02 - 10:42:55.5533522,100.9711,0,6,User missed, , , 
2018/07/02 - 10:42:55.9422991,101.3602,1,6,User hit user's target,-3.129674,8.831779,1.317944
2018/07/02 - 10:42:56.7531270,102.1708,2,7,User hit user's target,-0.7714596,6.040206,4.361805
2018/07/02 - 10:43:01.1986583,106.6163,3,6,User hit user's target,-4.811818,5.387389,0.2712767
2018/07/02 - 10:43:03.3532017,108.7706,4,6,User hit user's target,2.837052,5.246022,-3.644345
2018/07/02 - 10:43:04.8520289,110.2704,5,6,User hit user's target,2.666265,5.007077,4.545753
2018/07/02 - 10:43:06.1529408,111.5715,6,6,User hit user's target,-1.844878,3.942736,4.525332
2018/07/02 - 10:43:07.6199937,113.0377,7,7,User hit user's target,0.6534551,6.217578,5.007846
2018/07/02 - 10:43:10.2538557,115.6719,6,13,User missed, , , 
2018/07/02 - 10:43:10.6408195,116.0588,5,13,User missed, , , 
2018/07/02 - 10:43:11.6748256,117.0926,6,11,User hit user's target,1.705527,2.310045,4.123034
2018/07/02 - 10:43:12.2632504,117.6821,7,11,User hit user's target,2.439646,2.766901,4.006173
2018/07/02 - 10:43:14.0311909,119.4491,8,10,User hit user's target,-2.979944,4.193741,4.178262
2018/07/02 - 10:43:14.5845827,120.0038,9,10,User hit user's target,-0.6726422,2.62955,4.125112
2018/07/02 - 10:43:15.5982716,121.0164,10,10,User hit user's target,-4.243149,7.716583,1.78462
2018/07/02 - 10:43:17.6407988,123.0593,11,14,User hit user's target,-2.779824,4.401075,3.835948
2018/07/02 - 10:43:19.1970612,124.6148,10,15,User missed, , , 
2018/07/02 - 10:43:19.5187642,124.9371,11,15,User hit user's target,-3.95934,5.647452,2.209272
2018/07/02 - 10:43:20.2421452,125.6608,12,16,User hit user's target,-4.518915,6.799598,0.5494577
2018/07/02 - 10:43:21.1075294,126.5267,13,15,User hit user's target,1.094252,3.236168,4.532297
2018/07/02 - 10:43:21.8286095,127.2477,12,14,User missed, , , 
2018/07/02 - 10:43:22.3200159,127.7383,13,14,User hit user's target,-2.70513,8.741211,2.071043
2018/07/02 - 10:43:22.8087076,128.2274,14,14,User hit user's target,-1.447263,8.252527,3.595846
2018/07/02 - 10:43:23.7420522,129.1608,15,14,User hit user's target,-3.802259,7.808861,-1.534287
2018/07/02 - 10:43:25.9199908,131.3379,16,17,User hit user's target,2.208328,7.110709,-3.8056
2018/07/02 - 10:43:27.0534816,132.4711,17,18,User hit user's target,-0.4313998,2.388409,4.452627
2018/07/02 - 10:43:28.1091066,133.5267,18,18,User hit user's target,3.965836,2.079393,1.452731
