Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/02 - 10:42:45.1732703,90.59152,0,1,Peer hit peer's target,3.721385,4.705061,3.26587
2018/07/02 - 10:42:46.3961883,91.81397,0,2,Peer hit peer's target,-1.673114,8.730891,-2.700212
2018/07/02 - 10:42:48.7521650,94.16984,1,3,Peer hit peer's target,-3.535635,7.625474,2.894654
2018/07/02 - 10:42:51.8628310,97.28168,0,4,Peer hit peer's target,-3.698774,6.184075,-1.869004
2018/07/02 - 10:42:52.6744402,98.09251,0,5,Peer hit peer's target,-0.8728388,7.196077,5.274821
2018/07/02 - 10:42:53.4304179,98.84874,0,6,Peer hit peer's target,-3.341073,6.368747,2.035888
2018/07/02 - 10:42:56.6304555,102.0485,1,7,Peer hit peer's target,-4.182258,2.713582,2.823576
2018/07/02 - 10:42:58.8076514,104.2264,2,6,Peer missed, , , 
2018/07/02 - 10:43:01.6195315,107.0374,3,7,Peer hit peer's target,-3.278982,3.577797,1.883426
2018/07/02 - 10:43:03.0520077,108.4704,3,6,Peer missed, , , 
2018/07/02 - 10:43:06.8191285,112.2374,6,7,Peer hit peer's target,-1.274448,7.786415,-2.945202
2018/07/02 - 10:43:07.6219885,113.0377,7,8,Peer hit peer's target,-1.912922,2.730804,-3.468537
2018/07/02 - 10:43:07.9202098,113.3377,7,9,Peer hit peer's target,-2.269409,4.823046,3.747896
2018/07/02 - 10:43:08.2293688,113.6486,7,10,Peer hit peer's target,-1.220639,2.428451,-3.777576
2018/07/02 - 10:43:08.6292984,114.0481,7,11,Peer hit peer's target,3.55028,8.650945,-0.86217
2018/07/02 - 10:43:09.2522347,114.6704,7,12,Peer hit peer's target,-4.295301,2.178143,-0.08434727
2018/07/02 - 10:43:09.6192322,115.0373,7,13,Peer hit peer's target,0.1270334,3.849906,4.555344
2018/07/02 - 10:43:11.2083007,116.6271,5,12,Peer missed, , , 
2018/07/02 - 10:43:11.6077538,117.026,5,11,Peer missed, , , 
2018/07/02 - 10:43:12.3749520,117.7927,7,10,Peer missed, , , 
2018/07/02 - 10:43:16.6076747,122.0268,10,11,Peer hit peer's target,3.480489,2.347081,2.936172
2018/07/02 - 10:43:16.9198395,122.3376,10,12,Peer hit peer's target,-3.67802,6.863177,-2.959117
2018/07/02 - 10:43:17.2300097,122.6489,10,13,Peer hit peer's target,1.339856,2.597574,3.699362
2018/07/02 - 10:43:17.5413797,122.9596,10,14,Peer hit peer's target,-0.9723285,3.991719,4.139433
2018/07/02 - 10:43:18.5638087,123.9822,11,15,Peer hit peer's target,-3.713401,7.972043,1.258578
2018/07/02 - 10:43:20.0981865,125.5165,11,16,Peer hit peer's target,1.458658,7.549633,-3.990451
2018/07/02 - 10:43:20.4201979,125.8382,12,15,Peer missed, , , 
2018/07/02 - 10:43:21.7029346,127.1203,13,14,Peer missed, , , 
2018/07/02 - 10:43:24.0871265,129.5054,15,15,Peer hit peer's target,-0.7568248,5.838596,-5.03996
2018/07/02 - 10:43:24.4633440,129.8823,15,16,Peer hit peer's target,2.033563,6.612457,-4.689796
2018/07/02 - 10:43:24.7750553,130.1928,15,17,Peer hit peer's target,5.001142,5.190578,-1.256131
2018/07/02 - 10:43:26.3747716,131.7934,16,18,Peer hit peer's target,-3.807065,3.19675,3.240951
2018/07/02 - 10:43:29.4647380,134.8833,18,19,Peer hit peer's target,4.471881,4.125413,-3.044291
