Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/07/02 - 10:52:45.5618093,0,0.2379473,0.3313628,-0.1535712,356.929,347.969,359.2241,0.2830446,-0.1264979,0.0362636,321.6652,347.0508,107.21
2018/07/02 - 10:52:45.5697851,0.007969828,0.2381401,0.3314215,-0.1532855,356.8088,347.8789,359.2824,0.2830426,-0.1264905,0.03626102,321.6797,347.0706,107.1728
2018/07/02 - 10:52:45.5757698,0.0249039,0.2383208,0.33159,-0.153073,356.7898,347.8862,359.3261,0.2830432,-0.1264935,0.03626258,321.6693,347.0642,107.1863
2018/07/02 - 10:52:45.5867402,0.03016867,0.2384969,0.3316255,-0.1527845,356.6195,347.8455,359.2828,0.2830458,-0.1265008,0.03626401,321.6613,347.0403,107.2252
2018/07/02 - 10:52:45.5987082,0.04227232,0.2386243,0.3317167,-0.1524922,356.4831,347.8697,359.2473,0.2830428,-0.1264918,0.03626186,321.6779,347.0694,107.1794
2018/07/02 - 10:52:45.6087018,0.05319638,0.2388357,0.3318234,-0.1522075,356.3663,347.8008,359.2049,0.283032,-0.1265135,0.03629817,321.6381,347.1555,107.2894
2018/07/02 - 10:52:45.6206490,0.06442109,0.2389657,0.3319145,-0.1519094,356.2801,347.7703,359.1796,0.2830465,-0.1265042,0.03626544,321.6667,347.0347,107.2469
2018/07/02 - 10:52:45.6306222,0.0753736,0.2390829,0.332023,-0.151668,356.2388,347.7678,359.1598,0.2831157,-0.12652,0.03616008,321.6574,346.4388,107.3347
2018/07/02 - 10:52:45.6425905,0.08575949,0.2391833,0.3320962,-0.1514255,356.1631,347.7375,359.097,0.2831955,-0.1265514,0.036052,321.6552,345.7623,107.5156
2018/07/02 - 10:52:45.6525639,0.09683914,0.239393,0.3321274,-0.151131,356.1049,347.6829,359.1875,0.2833113,-0.1265061,0.03582957,321.7261,344.8278,107.2816
2018/07/02 - 10:52:45.6655291,0.1078042,0.2395505,0.3321424,-0.1508265,356.0497,347.6516,359.2122,0.2834435,-0.1264408,0.03557638,321.865,343.8184,106.959
2018/07/02 - 10:52:45.6745050,0.120483,0.2395458,0.3321515,-0.1507383,356.0766,347.6668,359.1982,0.2836161,-0.1265675,0.03541334,321.709,342.4012,107.6297
2018/07/02 - 10:52:45.6854763,0.1298434,0.2396459,0.3321976,-0.1505381,356.0709,347.6346,359.1696,0.2837393,-0.1265235,0.03520613,321.9266,341.5319,107.4602
2018/07/02 - 10:52:45.6974446,0.1411154,0.2399055,0.3321909,-0.1501615,355.9933,347.6015,359.2157,0.283801,-0.1264147,0.03504576,322.0448,341.1603,106.8803
2018/07/02 - 10:52:45.7074175,0.1517863,0.2399642,0.3322172,-0.1500448,355.9936,347.6183,359.2216,0.2838322,-0.1264852,0.03505141,321.8992,340.8624,107.2284
2018/07/02 - 10:52:45.7183882,0.1627649,0.2403355,0.3322372,-0.1495337,355.8633,347.5592,359.2646,0.2838408,-0.1264838,0.03503885,321.9425,340.8085,107.2378
2018/07/02 - 10:52:45.7293583,0.1739385,0.2404024,0.3322879,-0.1493151,355.8158,347.5672,359.2217,0.2837933,-0.1264725,0.03509578,321.9034,341.1561,107.1569
2018/07/02 - 10:52:45.7423329,0.1851521,0.240573,0.3323229,-0.1489179,355.7276,347.5335,359.2048,0.283771,-0.1264589,0.03511711,321.9146,341.3307,107.0831
2018/07/02 - 10:52:45.7522973,0.1964988,0.2406153,0.3322906,-0.1487321,355.7293,347.5625,359.254,0.2837554,-0.1264806,0.03515373,321.8671,341.4247,107.1897
2018/07/02 - 10:52:45.7642658,0.2077671,0.24064,0.3322653,-0.1486601,355.7634,347.5505,359.2617,0.2837546,-0.1264775,0.03515265,321.8727,341.4334,107.1738
2018/07/02 - 10:52:45.7752354,0.2188649,0.2407371,0.3322186,-0.1483041,355.798,347.5288,359.2979,0.283756,-0.1264817,0.03515363,321.8659,341.4192,107.1955
2018/07/02 - 10:52:45.7852083,0.2303772,0.2408566,0.3321198,-0.1478549,355.8334,347.5009,359.3749,0.2837554,-0.1264776,0.03515161,321.8774,341.4283,107.1762
2018/07/02 - 10:52:45.7971774,0.240863,0.240864,0.3320764,-0.1475046,355.888,347.4896,359.3923,0.2837422,-0.1264876,0.03517687,321.8526,341.5158,107.224
2018/07/02 - 10:52:45.8081478,0.2519676,0.240914,0.3320153,-0.1470808,355.9651,347.4457,359.4054,0.2837404,-0.1264877,0.03517942,321.8287,341.5247,107.2151
2018/07/02 - 10:52:45.8191404,0.2635055,0.2409323,0.3319405,-0.1467357,356.0183,347.4443,359.414,0.2837479,-0.1264948,0.03517393,321.8715,341.4727,107.2731
2018/07/02 - 10:52:45.8300887,0.2744458,0.2409407,0.3318662,-0.146536,356.0353,347.4553,359.4166,0.2837366,-0.1264745,0.03517556,321.8714,341.5682,107.156
2018/07/02 - 10:52:45.8410591,0.2853721,0.2410028,0.3317811,-0.1461711,356.1479,347.4524,359.3696,0.2836801,-0.1264583,0.03524343,321.8839,342.0008,107.0674
2018/07/02 - 10:52:45.8530273,0.2964404,0.2410517,0.3317003,-0.1459197,356.1808,347.4358,359.3839,0.2836445,-0.1264337,0.03527679,321.8156,342.2699,106.8983
2018/07/02 - 10:52:45.8630011,0.3080028,0.241004,0.331611,-0.1455649,356.2407,347.4741,359.3351,0.2835497,-0.1261668,0.03523019,322.1226,343.19,105.4895
2018/07/02 - 10:52:45.8749693,0.3188025,0.2410357,0.3315782,-0.1451309,356.432,347.4294,359.2437,0.2834395,-0.1258882,0.0352091,322.2741,344.2326,103.9628
2018/07/02 - 10:52:45.8859429,0.3298122,0.2410159,0.3314485,-0.1447816,356.4354,347.3773,359.2378,0.2833219,-0.1255683,0.03518641,322.6394,345.413,102.3095
2018/07/02 - 10:52:45.8969096,0.3411775,0.2409514,0.3314066,-0.1444716,356.6144,347.3993,359.1843,0.2832246,-0.125166,0.03510562,323.2772,346.5634,100.3449
2018/07/02 - 10:52:45.9078809,0.352151,0.2409852,0.3312089,-0.1441576,356.663,347.359,359.1799,0.2831338,-0.1246457,0.03498412,324.3194,347.8352,97.96999
2018/07/02 - 10:52:45.9198488,0.3634548,0.2410385,0.3311258,-0.1439358,356.8164,347.3187,359.1116,0.282973,-0.1239724,0.03494344,325.5083,349.8569,94.90499
2018/07/02 - 10:52:45.9298223,0.3745888,0.2410566,0.3309693,-0.1436643,356.8904,347.3134,359.046,0.2827562,-0.1231059,0.0349949,326.5553,352.7367,90.7891
2018/07/02 - 10:52:45.9417900,0.3854997,0.2410495,0.3308934,-0.1433614,357.0175,347.3464,358.9991,0.2826173,-0.122178,0.03502148,327.458,355.477,86.30362
2018/07/02 - 10:52:45.9517626,0.396836,0.2410685,0.3307678,-0.1429942,357.0872,347.3636,358.9572,0.2826459,-0.1210798,0.03490579,328.19,357.9139,80.76353
2018/07/02 - 10:52:45.9637314,0.4077316,0.2411045,0.330631,-0.1426341,357.1005,347.4249,358.9212,0.2828156,-0.119962,0.03473915,328.9817,0.02829598,75.0678
2018/07/02 - 10:52:45.9747027,0.4187765,0.2411974,0.3306027,-0.1423651,357.1609,347.4375,358.9026,0.2832483,-0.1185855,0.03444544,329.7262,2.27041,67.6005
2018/07/02 - 10:52:45.9856734,0.429902,0.2411645,0.3305493,-0.1420164,357.1389,347.5537,358.911,0.2837633,-0.1172967,0.03426069,330.8806,4.531014,60.63599
2018/07/02 - 10:52:45.9976596,0.4412786,0.2412986,0.3304736,-0.1416495,357.1784,347.6215,358.9075,0.2844459,-0.1159788,0.03412305,332.5449,6.698293,53.52
2018/07/02 - 10:52:46.0076134,0.4522758,0.2414238,0.3303894,-0.1413399,357.2686,347.7511,358.8901,0.28526,-0.1147472,0.03403595,334.5732,8.436185,46.82603
2018/07/02 - 10:52:46.0195825,0.4633566,0.2416051,0.3302803,-0.1410779,357.3143,347.8886,358.8715,0.2862164,-0.1135776,0.03400857,336.8646,9.969373,40.17569
2018/07/02 - 10:52:46.0295554,0.4742257,0.2418244,0.3302455,-0.140881,357.3963,348.048,358.8775,0.2873756,-0.1124593,0.03402377,339.4868,11.12303,33.36784
2018/07/02 - 10:52:46.0415228,0.4853438,0.2420661,0.3301923,-0.1406626,357.3899,348.2815,358.8981,0.2886922,-0.1114878,0.03406711,342.2028,11.66962,26.73887
2018/07/02 - 10:52:46.0525054,0.4967574,0.2423135,0.3301714,-0.1404928,357.3853,348.5439,358.846,0.2901473,-0.1106579,0.0341769,345.1344,11.38909,20.43996
2018/07/02 - 10:52:46.0644617,0.5076877,0.2426862,0.3301083,-0.1403437,357.3428,348.866,358.8755,0.2916004,-0.1100373,0.03434348,347.8969,10.19977,14.95815
2018/07/02 - 10:52:46.0744343,0.5190094,0.2431614,0.3300186,-0.1402629,357.3373,349.1831,358.903,0.2930265,-0.1096383,0.03450964,350.0912,8.352449,10.00716
2018/07/02 - 10:52:46.0854062,0.5298629,0.2436489,0.3298879,-0.1402377,357.3038,349.6574,358.8906,0.2943647,-0.109465,0.03462425,351.4004,5.751343,5.808847
2018/07/02 - 10:52:46.0973736,0.5410834,0.2441931,0.3298942,-0.1402993,357.3739,350.1768,358.8966,0.2956415,-0.1094321,0.03475277,352.1974,3.119228,1.798064
2018/07/02 - 10:52:46.1073462,0.5521781,0.2448719,0.329898,-0.1404144,357.3603,350.7589,358.901,0.2968121,-0.1095236,0.03487436,352.4497,0.5326204,358.1412
2018/07/02 - 10:52:46.1362701,0.5632225,0.2456426,0.3299173,-0.1405693,357.2939,351.3996,359.015,0.2979159,-0.1096664,0.03506918,352.7094,358.3211,354.4622
2018/07/02 - 10:52:46.1422540,0.5745385,0.2466148,0.3301852,-0.1410284,357.1643,352.2498,359.011,0.2987287,-0.1098367,0.03522308,352.7571,356.8907,351.5586
2018/07/02 - 10:52:46.1462444,0.595704,0.2474371,0.3302756,-0.1413497,357.0795,352.9608,359.0892,0.2996397,-0.1100349,0.03549851,353.0619,355.2064,348.2432
2018/07/02 - 10:52:46.1532241,0.6013857,0.249138,0.330422,-0.142007,356.8849,354.3324,359.2018,0.3013479,-0.1105731,0.03612952,353.4097,351.8899,341.7407
2018/07/02 - 10:52:46.1641945,0.6078303,0.2501278,0.3305382,-0.1426888,356.7842,355.2542,359.3063,0.3018515,-0.110774,0.03635386,353.5023,350.8938,339.7067
2018/07/02 - 10:52:46.1751661,0.6194416,0.250136,0.3306561,-0.1429279,356.8674,355.3665,359.2378,0.3016177,-0.1107165,0.03618756,353.1082,351.3034,340.7418
2018/07/02 - 10:52:46.1851393,0.6302374,0.2510513,0.3307525,-0.1436228,356.799,356.2144,359.2273,0.4394684,-0.04548127,0.218232,352.2865,352.6792,341.6378
2018/07/02 - 10:52:46.1981039,0.6411549,0.2520454,0.3308433,-0.1444931,356.7097,357.1212,359.2567,0.4398557,-0.04583533,0.2181068,350.5789,351.6307,340.5188
2018/07/02 - 10:52:46.2080876,0.6524431,0.2529262,0.3309833,-0.1454009,356.6173,358.1358,359.2345,0.4312071,-0.0301203,0.1943434,348.3226,349.6436,336.4882
2018/07/02 - 10:52:46.2190680,0.6635259,0.2539031,0.3310814,-0.1463335,356.4773,359.0454,359.2257,0.4315317,-0.03049372,0.194253,346.869,349.2591,335.172
2018/07/02 - 10:52:46.2300378,0.6742884,0.2548965,0.3312571,-0.1474515,356.4457,0.02247274,359.2558,0.4256872,-0.01109711,0.1504345,345.8773,349.4671,333.784
2018/07/02 - 10:52:46.2409892,0.6855481,0.2559192,0.3313829,-0.1486102,356.3774,0.942618,359.2216,0.4260086,-0.008679512,0.1409666,344.9106,349.2784,332.359
2018/07/02 - 10:52:46.2519594,0.6963199,0.2568406,0.3315305,-0.1498827,356.3353,2.034272,359.2454,0.4255071,-0.006580436,0.1344263,344.5353,349.189,331.1604
2018/07/02 - 10:52:46.2629301,0.7073168,0.2577988,0.3316646,-0.1512188,356.2519,3.098452,359.2885,0.4245723,-0.004572077,0.1288281,344.4453,349.1645,329.9755
2018/07/02 - 10:52:46.2748986,0.7180842,0.2588123,0.331804,-0.1527577,356.1832,4.1168,359.2999,0.4225609,-0.001910598,0.1244062,344.7742,349.3232,328.7498
2018/07/02 - 10:52:46.2848868,0.7291377,0.2596443,0.3319946,-0.1544354,356.1535,5.193229,359.2754,0.4200397,0.001254739,0.1201741,345.0916,349.5048,327.5129
2018/07/02 - 10:52:46.2958428,0.7402424,0.2604151,0.3321337,-0.1561117,356.1093,6.229121,359.2822,0.4164683,0.005310997,0.1170064,345.2491,349.6699,326.2684
2018/07/02 - 10:52:46.3068135,0.7511246,0.2611503,0.3323076,-0.1579645,356.1257,7.172452,359.3202,0.4134122,0.008876162,0.1134793,345.2047,349.665,325.1429
2018/07/02 - 10:52:46.3187812,0.7623152,0.261738,0.3324118,-0.1597851,356.066,8.15278,359.3318,0.4106832,0.0118401,0.1098903,345.0931,349.3753,324.2646
2018/07/02 - 10:52:46.3297527,0.7736531,0.2623624,0.3325441,-0.1616658,356.0265,9.021827,359.3238,0.4086404,0.01372296,0.1058925,344.745,348.4753,323.7249
2018/07/02 - 10:52:46.3407226,0.7849566,0.2628508,0.3327267,-0.1636196,355.9887,9.880274,359.3222,0.4070625,0.01486017,0.101604,344.3853,347.3396,323.2332
2018/07/02 - 10:52:46.3506957,0.795627,0.2633201,0.3328956,-0.1655494,355.9341,10.75087,359.3613,0.4062932,0.0150607,0.09634903,344.2785,346.4919,322.6739
2018/07/02 - 10:52:46.3636854,0.8066571,0.2636736,0.3330635,-0.1675225,355.8734,11.55548,359.3446,0.4061276,0.01426268,0.09065419,344.6034,345.7351,322.1668
2018/07/02 - 10:52:46.3736344,0.8180133,0.2640686,0.3332409,-0.1695716,355.867,12.29399,359.3472,0.4055591,0.01387053,0.08568249,345.1856,345.0418,321.5919
2018/07/02 - 10:52:46.3846048,0.8283699,0.2643438,0.3332909,-0.1715145,355.7917,13.01559,359.394,0.4060262,0.01283441,0.07989031,345.5214,344.1341,320.8056
2018/07/02 - 10:52:46.3965967,0.8397959,0.2645684,0.3334007,-0.1735599,355.8413,13.66209,359.4173,0.4065301,0.01211945,0.07434934,345.5021,343.0919,319.7153
2018/07/02 - 10:52:46.4065648,0.8512753,0.2647627,0.3335298,-0.1756478,355.9476,14.25128,359.3811,0.4072251,0.01130344,0.0690398,345.4601,342.2965,318.437
2018/07/02 - 10:52:46.4185151,0.8619837,0.2648307,0.3335362,-0.1776704,356.0369,14.90459,359.4373,0.4085467,0.009873884,0.06341828,345.3443,341.877,317.0113
2018/07/02 - 10:52:46.4284877,0.8733293,0.2649059,0.3335397,-0.1797255,356.0992,15.4076,359.3623,0.4093926,0.008612711,0.05851774,345.0383,341.5993,315.6502
2018/07/02 - 10:52:46.4404557,0.8843402,0.2649967,0.3335431,-0.181793,356.205,15.87265,359.4335,0.4098641,0.007019101,0.05391816,345.207,341.5667,314.8937
2018/07/02 - 10:52:46.4514267,0.8954722,0.2647881,0.3335414,-0.1842833,356.3282,16.61036,359.4211,0.4100546,0.005804684,0.04887115,345.4877,341.6955,314.8933
2018/07/02 - 10:52:46.4633941,0.9065211,0.2650453,0.3335715,-0.1862176,356.5266,16.88796,359.4992,0.4096592,0.005423956,0.04353182,346.2351,341.8629,315.7849
2018/07/02 - 10:52:46.4733749,0.9181839,0.264741,0.3335837,-0.1878931,356.6297,17.39566,359.5174,0.4094534,0.00493381,0.03876976,346.9921,341.9176,316.3477
2018/07/02 - 10:52:46.4843385,0.9286824,0.2647001,0.3335246,-0.1898548,356.631,17.63237,359.4844,0.409865,0.004147605,0.033723,347.2401,342.2516,316.646
2018/07/02 - 10:52:46.4963056,0.9397452,0.2643646,0.3335761,-0.1917325,356.8062,17.95151,359.4402,0.4106196,0.003662242,0.02824569,346.8643,342.8524,316.8887
2018/07/02 - 10:52:46.5062796,0.9514251,0.2642328,0.3333946,-0.1936097,356.8804,18.18241,359.3708,0.4116025,0.003278058,0.0228984,346.5182,343.3933,317.0794
2018/07/02 - 10:52:46.5182470,0.9621856,0.2640099,0.3332157,-0.1954522,357.0523,18.52172,359.3728,0.4129008,0.002882466,0.01773311,346.3031,343.9531,317.3777
2018/07/02 - 10:52:46.5282245,0.9732646,0.2637704,0.3329679,-0.1973289,357.2659,18.86283,359.4048,0.4141074,0.002563396,0.01268138,346.2491,344.515,317.8219
2018/07/02 - 10:52:46.5401882,0.9840766,0.2634382,0.3326367,-0.1991241,357.5047,19.1783,359.3611,0.415611,0.002182113,0.007930393,346.2059,345.1295,318.2687
2018/07/02 - 10:52:46.5511597,0.9953852,0.2631771,0.3322202,-0.2009297,357.7553,19.44383,359.3855,0.4173068,0.001702139,0.003317895,346.1697,345.6984,318.5742
2018/07/02 - 10:52:46.5631274,1.006825,0.2629842,0.3317015,-0.2026798,357.9285,19.68662,359.4845,0.4194822,0.001086203,-0.0009975752,346.1351,346.3457,318.6248
2018/07/02 - 10:52:46.5740973,1.017544,0.2627043,0.3312144,-0.2044296,358.1454,19.9501,359.5347,0.4218096,0.0003671754,-0.005151865,346.0806,347.0843,318.5163
2018/07/02 - 10:52:46.5840710,1.028612,0.2624353,0.3307306,-0.206197,358.3186,20.21276,359.6378,0.42439,-0.0005790127,-0.009073215,346.095,347.9558,318.1767
2018/07/02 - 10:52:46.5960395,1.039913,0.2621136,0.3302828,-0.2080065,358.5472,20.40364,359.6764,0.4270898,-0.001696223,-0.01293414,346.181,348.8092,317.7799
2018/07/02 - 10:52:46.6060238,1.050878,0.2617678,0.3296969,-0.2097377,358.7891,20.63565,359.775,0.4297582,-0.002948522,-0.01672329,346.199,349.5116,317.383
2018/07/02 - 10:52:46.6179807,1.062174,0.2614325,0.3289881,-0.2115106,358.9755,20.83639,359.8101,0.4325504,-0.004479049,-0.0202531,346.2627,350.2255,316.9258
2018/07/02 - 10:52:46.6290222,1.073418,0.2610753,0.3282837,-0.2133421,359.313,21.03167,359.9314,0.4353873,-0.006105593,-0.02385574,346.2975,351.0592,316.6473
2018/07/02 - 10:52:46.6399915,1.084312,0.2606812,0.3276328,-0.2151588,359.6208,21.21731,359.9843,0.4382995,-0.007951786,-0.02735592,346.3041,352.0033,316.6121
