2018/06/29 - 01:22:57.0537163,71.01428,14,19,Peer hit peer's target,4.64875,3.418437,-1.221226
2018/06/29 - 01:22:58.2742979,72.23522,12,18,Peer missed, , , 
2018/06/29 - 01:22:58.5750809,72.53615,11,17,Peer missed, , , 
2018/06/29 - 01:22:59.3878779,73.34811,11,16,Peer missed, , , 
2018/06/29 - 01:23:00.0742477,74.03529,12,15,Peer missed, , , 
2018/06/29 - 01:23:03.3649265,77.32536,10,14,Peer missed, , , 
2018/06/29 - 01:23:04.1665449,78.12626,10,15,Peer hit peer's target,-0.6727822,7.604279,3.999687
2018/06/29 - 01:23:05.5530311,79.51441,10,16,Peer hit peer's target,-1.40182,6.634557,-4.744177
2018/06/29 - 01:23:06.8878310,80.84824,9,17,Peer hit peer's target,4.298174,2.883043,0.6491881
2018/06/29 - 01:23:06.9436685,80.9033,9,16,Peer missed, , , 
2018/06/29 - 01:23:09.7517415,83.71334,9,15,Peer missed, , , 
2018/06/29 - 01:23:10.4080140,84.3693,10,14,Peer missed, , , 
2018/06/29 - 01:23:14.8194917,88.78141,9,13,Peer missed, , , 
2018/06/29 - 01:23:14.8743450,88.8366,9,14,Peer hit peer's target,-4.136764,7.250475,-0.2319806
2018/06/29 - 01:23:15.8994244,89.86067,9,15,Peer hit peer's target,2.587679,1.218393,-2.317669
2018/06/29 - 01:23:17.6858125,91.64706,12,16,Peer hit peer's target,3.859949,7.516529,-0.6610178
2018/06/29 - 01:23:18.1196521,92.08076,12,17,Peer hit peer's target,3.878231,5.802092,2.876976
2018/06/29 - 01:23:19.2531105,93.21461,13,18,Peer hit peer's target,-3.965119,6.344044,-1.30371
2018/06/29 - 01:23:22.4754414,96.43679,10,17,Peer missed, , , 
2018/06/29 - 01:23:22.5302983,96.49168,9,16,Peer missed, , , 
2018/06/29 - 01:23:22.8199670,96.78133,10,15,Peer missed, , , 
2018/06/29 - 01:23:25.0532902,99.01521,9,16,Peer hit peer's target,-1.934449,7.695149,4.585804
2018/06/29 - 01:23:27.8309707,101.7928,10,15,Peer missed, , , 
2018/06/29 - 01:23:27.8539316,101.8152,10,14,Peer missed, , , 
2018/06/29 - 01:23:28.5316384,102.4924,10,13,Peer missed, , , 
2018/06/29 - 01:23:29.4214710,103.3819,11,12,Peer hit user's target,5.169589,4.023401,1.025275
2018/06/29 - 01:23:31.5877546,105.5483,13,13,Peer hit peer's target,4.521171,3.650229,3.312441
2018/06/29 - 01:23:32.7526742,106.7141,14,14,Peer hit peer's target,2.529587,2.817167,2.908842
2018/06/29 - 01:23:32.8753266,106.8359,13,15,Peer hit peer's target,-2.229545,9.474919,-0.06499604
2018/06/29 - 01:23:34.8214731,108.7825,15,14,Peer hit user's target,-3.721872,4.687192,-1.032239
2018/06/29 - 01:23:36.0664383,110.0274,17,15,Peer hit peer's target,-1.680498,4.986873,4.645359
2018/06/29 - 01:23:36.1123151,110.0727,17,16,Peer hit peer's target,1.893893,7.116411,4.492566
2018/06/29 - 01:23:36.1232679,110.0838,17,17,Peer hit peer's target,-5.648192,4.590031,-0.367996
2018/06/29 - 01:23:36.1412402,110.1039,17,18,Peer hit peer's target,-2.196556,7.081108,3.35776
2018/06/29 - 01:23:36.2409832,110.2041,17,19,Peer hit peer's target,-3.280428,3.840616,-2.955312
2018/06/29 - 01:23:36.5631138,110.5266,18,20,Peer hit peer's target,2.129869,2.977703,-4.021737
2018/06/29 - 01:23:38.1573332,112.1179,19,21,Peer hit peer's target,-2.946068,6.785097,-3.399958
2018/06/29 - 01:23:39.1871298,113.1483,20,22,Peer hit peer's target,-4.801147,6.394895,-0.05707584
2018/06/29 - 01:23:43.4882095,117.449,21,23,Peer hit peer's target,1.860803,7.381023,4.317526
2018/06/29 - 01:23:47.4765661,121.4377,19,22,Peer missed, , , 
2018/06/29 - 01:23:48.4111597,122.3721,19,23,Peer hit peer's target,0.5363408,5.298495,5.324737
2018/06/29 - 01:23:50.7980464,124.76,21,24,Peer hit peer's target,4.895637,6.618661,1.718101
2018/06/29 - 01:23:53.8325326,127.7942,18,23,Peer missed, , , 
2018/06/29 - 01:23:54.0318978,127.9935,17,22,Peer missed, , , 
2018/06/29 - 01:23:55.1987098,129.1605,18,21,Peer missed, , , 
2018/06/29 - 01:23:56.6216221,130.5826,21,20,Peer hit user's target,3.888276,4.353558,2.086882
2018/06/29 - 01:23:59.3656484,133.3263,22,21,Peer hit peer's target,-1.561924,4.378487,5.247302
2018/06/29 - 01:23:59.5661109,133.5269,22,22,Peer hit peer's target,-3.07585,3.055855,1.146184
2018/06/29 - 01:24:03.0107073,136.9715,24,23,Peer hit peer's target,-0.8777398,2.6001,4.830758
2018/06/29 - 01:24:04.3765537,138.3384,24,24,Peer hit peer's target,-4.156683,2.769744,1.951652
2018/06/29 - 01:24:06.5898993,140.5499,24,25,Peer hit peer's target,2.092725,6.90235,4.850744
2018/06/29 - 01:24:07.7114005,141.6719,24,26,Peer hit peer's target,1.66861,4.908776,-4.998028
2018/06/29 - 01:24:07.9338273,141.8943,24,27,Peer hit peer's target,4.939672,3.921698,0.5873789
2018/06/29 - 01:24:08.1113284,142.072,24,28,Peer hit peer's target,3.879666,4.464285,-4.168874
2018/06/29 - 01:24:11.5768069,145.5387,26,27,Peer missed, , , 
2018/06/29 - 01:24:11.5897721,145.55,26,28,Peer hit peer's target,-2.973215,8.173061,-1.389585
2018/06/29 - 01:24:11.7672971,145.7278,26,29,Peer hit peer's target,4.529595,3.645732,0.1470923
2018/06/29 - 01:24:11.9324526,145.8953,26,30,Peer hit peer's target,4.732291,5.767689,1.961752
2018/06/29 - 01:24:12.4769944,146.4385,26,31,Peer hit peer's target,2.415148,3.00725,3.840315
2018/06/29 - 01:24:12.7553479,146.7165,26,32,Peer hit peer's target,1.564965,2.553062,4.051369
2018/06/29 - 01:24:13.9777024,147.9389,25,33,Peer hit peer's target,0.5266169,6.235084,-4.551074
2018/06/29 - 01:24:16.6909300,150.6501,25,32,Peer missed, , , 
2018/06/29 - 01:24:16.7228448,150.6835,25,31,Peer missed, , , 
2018/06/29 - 01:24:16.9671951,150.9274,25,30,Peer missed, , , 
2018/06/29 - 01:24:17.6678727,151.6281,26,29,Peer missed, , , 
2018/06/29 - 01:24:20.2896191,154.25,25,28,Peer missed, , , 
2018/06/29 - 01:24:20.4013202,154.3616,25,29,Peer hit peer's target,1.857178,3.332418,3.439859
2018/06/29 - 01:24:21.0231389,154.9832,24,30,Peer hit peer's target,-3.681609,8.544338,-1.805483
2018/06/29 - 01:24:21.8453496,155.8051,25,29,Peer missed, , , 
2018/06/29 - 01:24:23.2008403,157.1618,25,30,Peer hit peer's target,-3.838308,5.435096,2.597528
2018/06/29 - 01:24:23.6989143,157.6603,24,29,Peer missed, , , 
2018/06/29 - 01:24:27.1119331,161.0732,26,30,Peer hit peer's target,-4.294297,5.684718,3.456611
2018/06/29 - 01:24:28.3895900,162.3502,26,31,Peer hit peer's target,-0.1316977,6.704301,4.794381
2018/06/29 - 01:24:28.6916331,162.6516,27,32,Peer hit peer's target,-3.748113,5.581335,3.99672
2018/06/29 - 01:24:29.9126871,163.8724,28,33,Peer hit peer's target,-2.480913,6.803768,4.303801
2018/06/29 - 01:24:30.7336844,164.6948,30,34,Peer hit peer's target,-3.8584,5.77622,3.344765
2018/06/29 - 01:24:31.2901949,165.2509,30,35,Peer hit peer's target,-4.197855,4.629103,-2.548745
2018/06/29 - 01:24:32.6009069,166.5616,28,36,Peer hit peer's target,3.704221,4.434885,-3.126305
2018/06/29 - 01:24:32.8137223,166.7726,28,35,Peer missed, , , 
2018/06/29 - 01:24:32.9683283,166.9284,28,34,Peer missed, , , 
2018/06/29 - 01:24:33.2682196,167.2286,28,33,Peer missed, , , 
2018/06/29 - 01:24:33.6242666,167.5852,28,32,Peer missed, , , 
2018/06/29 - 01:24:33.6910881,167.6515,28,31,Peer missed, , , 
2018/06/29 - 01:24:34.9555741,168.9165,28,31,Peer missed, , , 
2018/06/29 - 01:24:35.2128651,169.1736,28,30,Peer missed, , , 
2018/06/29 - 01:24:38.9223335,172.8833,27,31,Peer hit peer's target,-2.378313,6.953582,-3.330678
2018/06/29 - 01:24:39.2479464,173.2056,27,32,Peer hit peer's target,-4.77865,3.886059,1.408774
2018/06/29 - 01:24:39.9361057,173.8949,28,33,Peer hit peer's target,3.51931,2.563175,-1.497536
2018/06/29 - 01:24:40.4669283,174.4275,29,34,Peer hit peer's target,3.909436,4.07522,-2.976761
2018/06/29 - 01:24:41.8556658,175.8161,28,35,Peer hit peer's target,0.08185127,5.425518,4.303246
2018/06/29 - 01:24:42.2765393,176.2378,29,34,Peer missed, , , 
2018/06/29 - 01:24:42.7762019,176.7376,29,33,Peer missed, , , 
2018/06/29 - 01:24:42.9676900,176.9277,30,32,Peer missed, , , 
2018/06/29 - 01:24:44.2770698,178.2382,29,31,Peer missed, , , 
2018/06/29 - 01:24:45.6339038,179.5947,29,32,Peer hit peer's target,-3.507087,2.27572,2.231487
