Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/29 - 02:39:54.4483242,0.3119306,0.09877089,0.01125543,0.02046256,350.5969,297.1978,1.381057,-0.1400288,-0.3664375,0.04371224,349.0939,308.0071,18.19749
2018/06/29 - 02:39:54.4582982,0.3232458,0.09846647,0.01113478,0.02015163,350.9015,297.0948,1.46844,-0.139995,-0.3661651,0.0434679,348.9444,307.8705,18.11653
2018/06/29 - 02:39:54.4712629,0.3343121,0.09811999,0.01080293,0.01985895,351.1235,296.9862,1.51725,-0.1399345,-0.3659685,0.04321936,348.8136,307.6933,17.99006
2018/06/29 - 02:39:54.4822339,0.3464177,0.09767624,0.01061466,0.0195852,351.3991,296.9144,1.57058,-0.1398862,-0.3658271,0.04295972,348.6727,307.4631,17.84405
2018/06/29 - 02:39:54.4922074,0.3565564,0.09714507,0.0104532,0.01943205,351.5065,296.8171,1.761812,-0.1398877,-0.3657659,0.04270974,348.5095,307.1563,17.65091
2018/06/29 - 02:39:54.5031769,0.3678913,0.09667617,0.01031738,0.01919517,351.6127,296.7129,1.920954,-0.1399247,-0.3657949,0.04251147,348.4592,306.8689,17.42727
2018/06/29 - 02:39:54.5141476,0.378592,0.09622386,0.01029663,0.01894602,351.6917,296.5793,2.053943,-0.1400039,-0.3659231,0.04234615,348.5293,306.614,17.26397
2018/06/29 - 02:39:54.5261330,0.3895294,0.09561305,0.01024211,0.01880334,351.7021,296.4864,2.212876,-0.1400492,-0.3660341,0.04213146,348.5609,306.4,17.14447
2018/06/29 - 02:39:54.5360899,0.4009786,0.09508856,0.01032742,0.01861966,351.7597,296.4181,2.332204,-0.1400624,-0.3661219,0.04189749,348.5156,306.237,17.03471
2018/06/29 - 02:39:54.5480582,0.4120136,0.09459937,0.01036476,0.01839457,351.812,296.3668,2.362579,-0.140051,-0.3662308,0.04163158,348.4435,306.1113,16.97075
2018/06/29 - 02:39:54.5590397,0.4231598,0.09406953,0.01039727,0.01823536,351.761,296.303,2.384429,-0.1401308,-0.366438,0.04141303,348.4556,306.0496,17.01871
2018/06/29 - 02:39:54.5710153,0.4342156,0.09351913,0.01042483,0.01810694,351.7142,296.271,2.447055,-0.1402816,-0.3667093,0.04120107,348.5249,305.8986,17.14177
2018/06/29 - 02:39:54.5819681,0.4454511,0.09302707,0.01044259,0.01793927,351.7012,296.1987,2.45358,-0.1404233,-0.3670097,0.04105549,348.59,305.7292,17.25527
2018/06/29 - 02:39:54.5929371,0.4566263,0.09257285,0.01041049,0.01783416,351.6917,296.1769,2.577276,-0.1406016,-0.3674218,0.04105531,348.7052,305.6042,17.40086
2018/06/29 - 02:39:54.6049051,0.4680061,0.09212746,0.01027202,0.01779977,351.6875,296.1068,2.707477,-0.1408626,-0.3679329,0.041207,348.8953,305.5299,17.51853
2018/06/29 - 02:39:54.6148785,0.4793406,0.09166667,0.01013089,0.01775393,351.7136,296.0926,2.770108,-0.1411577,-0.3685698,0.0415538,349.1711,305.4905,17.57715
2018/06/29 - 02:39:54.6258541,0.4900815,0.09123258,0.0100702,0.01769488,351.8831,296.1127,2.77794,-0.1413639,-0.3692136,0.04195065,349.3823,305.5084,17.59127
2018/06/29 - 02:39:54.6368379,0.5008013,0.09082837,0.009937944,0.01762657,352.1171,296.2522,2.709225,-0.1414721,-0.3699776,0.04254793,349.5212,305.7501,17.58451
2018/06/29 - 02:39:54.6487888,0.5122723,0.09049421,0.009792212,0.01763191,352.3865,296.3759,2.667433,-0.1414851,-0.3709263,0.04327341,349.6717,306.0776,17.54893
2018/06/29 - 02:39:54.6587787,0.5231261,0.09010532,0.009581506,0.01765908,352.5844,296.5027,2.567202,-0.1415972,-0.3718496,0.0441869,349.9084,306.3575,17.41053
2018/06/29 - 02:39:54.6707495,0.5342891,0.08966168,0.009312334,0.01768772,352.7417,296.8085,2.514318,-0.1418773,-0.3728737,0.04538847,350.359,306.5981,17.20451
2018/06/29 - 02:39:54.6836946,0.5453403,0.0892972,0.009222301,0.0177652,352.9709,297.0911,2.453167,-0.1421628,-0.3739013,0.04653403,350.8378,306.657,17.06586
